 time            v(OUT+)         v(OUT-)         @R1[i]          @R2[i]         
 1.85280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.86280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.87280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.88280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.89280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.90280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.91280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.92280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.93280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.94280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.95280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.96280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.97280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.98280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.99280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 2.00000000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
